"","year","country","sum_cases"
"1",2002,"Brazil",174
"2",2002,"Peru",329
"3",2003,"Brazil",12386
"4",2003,"Peru",20441
"5",2003,"Chile",86
"6",2003,"Argentina",9352
"7",2003,"Romania",32769
"8",2003,"Bolivia",22563
"9",2003,"Uruguay",6445
"10",2003,"Austria",10178
"11",2003,"Belgium",3583
"12",2003,"Canada",46784
"13",2003,"France",4390
"14",2003,"Germany",15507
"15",2003,"Mexico",13233
"16",2003,"Spain",1083
"17",2003,"United.States",43231
"18",2003,"Netherlands",786
"19",2003,"Japan",458
"20",2003,"Switzerland",1222
"21",2004,"Argentina",8843
"22",2004,"Austria",32820
"23",2004,"Belgium",2876
"24",2004,"Bolivia",22110
"25",2004,"Brazil",12964
"26",2004,"Canada",77828
"27",2004,"Chile",348
"28",2004,"France",1622
"29",2004,"Germany",42880
"30",2004,"Japan",4001
"31",2004,"Mexico",45978
"32",2004,"Netherlands",1014
"33",2004,"Peru",17143
"34",2004,"Romania",37393
"35",2004,"Spain",1437
"36",2004,"Switzerland",1600
"37",2004,"United.States",58593
"38",2004,"Uruguay",7555
"39",2004,"Poland",652
"40",2004,"Russia",4131
"41",2004,"Hungary",359
"42",2004,"Norway",89
"43",2004,"Bulgaria",2130
"44",2005,"Argentina",8627
"45",2005,"Austria",41502
"46",2005,"Belgium",6472
"47",2005,"Bolivia",20260
"48",2005,"Brazil",13246
"49",2005,"Bulgaria",41988
"50",2005,"Canada",98859
"51",2005,"Chile",261
"52",2005,"France",5658
"53",2005,"Germany",49315
"54",2005,"Hungary",4471
"55",2005,"Japan",9480
"56",2005,"Mexico",51011
"57",2005,"Netherlands",1779
"58",2005,"Norway",1904
"59",2005,"Peru",16040
"60",2005,"Poland",4886
"61",2005,"Romania",40284
"62",2005,"Russia",13596
"63",2005,"Spain",3278
"64",2005,"Switzerland",3849
"65",2005,"United.States",83959
"66",2005,"Uruguay",6647
"67",2005,"Paraguay",10522
"68",2005,"Ukraine",6043
"69",2005,"Sweden",24
"70",2006,"Argentina",8966
"71",2006,"Australia",18263
"72",2006,"Austria",36142
"73",2006,"Belgium",4441
"74",2006,"Bolivia",19668
"75",2006,"Brazil",13964
"76",2006,"Bulgaria",46688
"77",2006,"Canada",97598
"78",2006,"Chile",260
"79",2006,"France",3075
"80",2006,"Germany",41952
"81",2006,"Hungary",3295
"82",2006,"Japan",5924
"83",2006,"Mexico",56569
"84",2006,"Netherlands",1497
"85",2006,"New.Zealand",1492
"86",2006,"Norway",1474
"87",2006,"Paraguay",16478
"88",2006,"Peru",14994
"89",2006,"Poland",2521
"90",2006,"Romania",40713
"91",2006,"Russia",15693
"92",2006,"Spain",2061
"93",2006,"Sweden",153
"94",2006,"Switzerland",1781
"95",2006,"Ukraine",17646
"96",2006,"United.States",77657
"97",2006,"Uruguay",6776
"98",2006,"South.Africa",137749
"99",2007,"Argentina",10267
"100",2007,"Australia",29574
"101",2007,"Austria",40517
"102",2007,"Belgium",6305
"103",2007,"Bolivia",19312
"104",2007,"Brazil",13336
"105",2007,"Bulgaria",42751
"106",2007,"Canada",85821
"107",2007,"Chile",558
"108",2007,"France",4203
"109",2007,"Germany",45226
"110",2007,"Hungary",4343
"111",2007,"Japan",7725
"112",2007,"Mexico",70979
"113",2007,"Netherlands",1607
"114",2007,"New.Zealand",1398
"115",2007,"Norway",2231
