Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Transcript count	Gene type
ENSG00000290825	1	11121	24894	DDX11L16	28	lncRNA
ENSG00000223972	1	12010	13670	DDX11L1	1	transcribed_unprocessed_pseudogene
ENSG00000310526	1	14356	30744	WASH7P	285	lncRNA
ENSG00000227232	1	14696	24886	WASH7P	1	transcribed_unprocessed_pseudogene
ENSG00000278267	1	17369	17436	MIR6859-1	1	miRNA
ENSG00000243485	1	28589	31109	MIR1302-2HG	4	lncRNA
ENSG00000284332	1	30366	30503	MIR1302-2	1	miRNA
ENSG00000237613	1	34553	37595	FAM138A	7	lncRNA
ENSG00000308361	1	36526	40778		1	lncRNA
ENSG00000290826	1	51891	64116		2	lncRNA
ENSG00000268020	1	52473	53312	OR4G4P	1	transcribed_unprocessed_pseudogene
ENSG00000240361	1	62949	63887	OR4G11P	1	transcribed_unprocessed_pseudogene
ENSG00000186092	1	65419	71585	OR4F5	1	protein_coding
ENSG00000241860	1	89295	181719		56	lncRNA
ENSG00000239945	1	89551	91105		1	lncRNA
ENSG00000308314	1	96638	105742		3	lncRNA
ENSG00000233750	1	131025	134836	CICP27	1	processed_pseudogene
ENSG00000308579	1	134914	136246		1	lncRNA
ENSG00000268903	1	135141	135895		1	transcribed_processed_pseudogene
ENSG00000269981	1	137682	137965		1	transcribed_processed_pseudogene
ENSG00000239906	1	139790	140339		1	lncRNA
ENSG00000310528	1	146386	199861		1	lncRNA
ENSG00000222623	1	157784	157887	RNU6-1100P	1	snRNA
ENSG00000241599	1	160446	161525		1	lncRNA
ENSG00000308415	1	180931	184937	DDX11L2	42	lncRNA
ENSG00000310527	1	182146	201244	WASH9P	331	lncRNA
ENSG00000279928	1	182696	184174	DDX11L17	1	transcribed_unprocessed_pseudogene
ENSG00000279457	1	185217	195411	WASH9P	1	transcribed_unprocessed_pseudogene
ENSG00000273874	1	187891	187958	MIR6859-2	1	miRNA
ENSG00000308625	1	199108	199882		2	lncRNA
ENSG00000308544	1	199948	201629		1	lncRNA
ENSG00000292994	1	257864	359681		10	lncRNA
ENSG00000228463	1	258568	259024		1	transcribed_processed_pseudogene
ENSG00000306775	1	258696	266103		1	lncRNA
ENSG00000286448	1	266753	284291		10	lncRNA
ENSG00000236679	1	347982	348366	RPL23AP24	1	transcribed_processed_pseudogene
ENSG00000236601	1	356138	366052		5	lncRNA
ENSG00000290385	1	365127	532459		27	lncRNA
ENSG00000269732	1	439870	440232	WBP1LP7	1	processed_pseudogene
ENSG00000284733	1	450740	451678	OR4F29	1	protein_coding
ENSG00000237094	1	485026	485208		1	transcribed_unprocessed_pseudogene
ENSG00000233653	1	487101	489906	CICP7	1	transcribed_processed_pseudogene
ENSG00000250575	1	491225	493241		1	unprocessed_pseudogene
ENSG00000278757	1	516376	516479	U6	1	snRNA
ENSG00000293331	1	586054	633129		11	lncRNA
ENSG00000225880	1	586945	827989	LINC00115	92	lncRNA
ENSG00000235146	1	587577	595116		4	lncRNA
ENSG00000225972	1	629062	629433	MTND1P23	1	unprocessed_pseudogene
ENSG00000225630	1	629640	630683	MTND2P28	1	unprocessed_pseudogene
ENSG00000237973	1	631074	632616	MTCO1P12	1	unprocessed_pseudogene
ENSG00000278791	1	632325	632413		1	miRNA
ENSG00000229344	1	632757	633438	MTCO2P12	1	unprocessed_pseudogene
ENSG00000240409	1	633535	633741	MTATP8P1	1	unprocessed_pseudogene
ENSG00000248527	1	633696	634376	MTATP6P1	1	unprocessed_pseudogene
ENSG00000198744	1	634376	634922	MTCO3P12	1	unprocessed_pseudogene
ENSG00000268663	1	674842	675265	WBP1LP6	1	processed_pseudogene
ENSG00000284662	1	685716	686654	OR4F16	1	protein_coding
ENSG00000230021	1	720024	720206		1	transcribed_processed_pseudogene
ENSG00000229376	1	722092	724903	CICP3	1	processed_pseudogene
ENSG00000223181	1	758233	758336	RNU6-1199P	1	snRNA
ENSG00000229905	1	760911	761989		1	lncRNA
ENSG00000228327	1	764723	774280		1	transcribed_unprocessed_pseudogene
ENSG00000237491	1	778739	810066	LINC01409	46	lncRNA
ENSG00000285268	1	781937	782050		1	transcribed_processed_pseudogene
ENSG00000230092	1	805799	810161		1	transcribed_unprocessed_pseudogene
ENSG00000177757	1	817363	819842	FAM87B	1	lncRNA
ENSG00000228794	1	825138	868835	LINC01128	95	lncRNA
ENSG00000297178	1	833098	835618		1	lncRNA
ENSG00000297224	1	850902	852130		2	lncRNA
ENSG00000230368	1	868052	877032	FAM41C	29	lncRNA
ENSG00000234711	1	873292	874349	TUBB8P11	1	unprocessed_pseudogene
ENSG00000283040	1	874529	877234		1	transcribed_unprocessed_pseudogene
ENSG00000296088	1	882161	889297		2	lncRNA
ENSG00000272438	1	904786	921034		48	lncRNA
ENSG00000298603	1	908073	910592		1	lncRNA
ENSG00000223764	1	916865	925614	LINC02593	8	lncRNA
ENSG00000187634	1	923923	944575	SAMD11	15	protein_coding
ENSG00000188976	1	944203	959309	NOC2L	6	protein_coding
ENSG00000187961	1	960584	965719	KLHL17	4	protein_coding
ENSG00000187583	1	966482	975865	PLEKHN1	5	protein_coding
ENSG00000187642	1	975198	982117	PERM1	4	protein_coding
ENSG00000303599	1	982505	989967		2	lncRNA
ENSG00000272512	1	995966	998051		1	lncRNA
ENSG00000188290	1	998962	1000172	HES4	4	protein_coding
ENSG00000303623	1	1000715	1001068		1	lncRNA
ENSG00000187608	1	1001138	1014540	ISG15	3	protein_coding
ENSG00000303614	1	1004058	1006442		1	lncRNA
ENSG00000231702	1	1008076	1008229		1	processed_pseudogene
ENSG00000224969	1	1011997	1013193		1	lncRNA
ENSG00000188157	1	1020120	1056119	AGRN	10	protein_coding
ENSG00000242590	1	1055033	1056116		1	lncRNA
ENSG00000291156	1	1058461	1066464		55	lncRNA
ENSG00000273443	1	1061267	1064278		2	lncRNA
ENSG00000217801	1	1063079	1069355		1	transcribed_unprocessed_pseudogene
ENSG00000304119	1	1065634	1069347		10	lncRNA
ENSG00000304169	1	1069213	1072933		3	lncRNA
ENSG00000237330	1	1070967	1074306	RNF223	1	protein_coding
ENSG00000131591	1	1081818	1116361	C1orf159	19	protein_coding
ENSG00000285812	1	1097585	1104598		1	lncRNA
ENSG00000299943	1	1126312	1129023		1	lncRNA
ENSG00000223823	1	1137017	1144056	LINC01342	1	lncRNA
ENSG00000304965	1	1157405	1158254		1	lncRNA
ENSG00000207730	1	1167104	1167198	MIR200B	1	miRNA
ENSG00000207607	1	1167863	1167952	MIR200A	1	miRNA
ENSG00000198976	1	1169005	1169087	MIR429	1	miRNA
ENSG00000272141	1	1169357	1170343		1	lncRNA
ENSG00000205231	1	1173056	1179555	TTLL10-AS1	1	lncRNA
ENSG00000162571	1	1173880	1197936	TTLL10	8	protein_coding
ENSG00000186891	1	1203508	1206592	TNFRSF18	4	protein_coding
ENSG00000186827	1	1211326	1214153	TNFRSF4	14	protein_coding
ENSG00000304412	1	1216908	1228947		1	lncRNA
ENSG00000078808	1	1216931	1232031	SDF4	7	protein_coding
ENSG00000176022	1	1232237	1235041	B3GALT6	1	protein_coding
ENSG00000184163	1	1242446	1246722	C1QTNF12	5	protein_coding
ENSG00000260179	1	1249777	1251334		1	lncRNA
ENSG00000160087	1	1253909	1273864	UBE2J2	20	protein_coding
ENSG00000230415	1	1274033	1280420	LINC01786	3	lncRNA
ENSG00000162572	1	1280436	1292029	SCNN1D	8	protein_coding
ENSG00000131584	1	1292390	1309609	ACAP3	13	protein_coding
ENSG00000278073	1	1296110	1296170	MIR6726	1	miRNA
ENSG00000169972	1	1308597	1311677	PUSL1	7	protein_coding
ENSG00000127054	1	1311585	1324687	INTS11	49	protein_coding
ENSG00000283712	1	1312502	1312566	MIR6727	1	miRNA
ENSG00000240731	1	1317581	1318689		1	lncRNA
ENSG00000224051	1	1324756	1328896	CPTP	3	protein_coding
ENSG00000169962	1	1331280	1335314	TAS1R3	1	protein_coding
ENSG00000107404	1	1335276	1349418	DVL1	7	protein_coding
ENSG00000284372	1	1339650	1339708	MIR6808	1	miRNA
ENSG00000304860	1	1348183	1362350		5	lncRNA
ENSG00000162576	1	1352689	1361777	MXRA8	10	protein_coding
ENSG00000175756	1	1373730	1375207	AURKAIP1	6	protein_coding
ENSG00000223663	1	1378666	1379032	NDUFB4P8	1	processed_pseudogene
ENSG00000221978	1	1385711	1399335	CCNL2	19	protein_coding
ENSG00000224870	1	1399476	1402054	MRPL20-AS1	18	lncRNA
ENSG00000242485	1	1401909	1407293	MRPL20	6	protein_coding
ENSG00000264293	1	1405460	1405752	RN7SL657P	1	misc_RNA
ENSG00000301639	1	1407358	1408306		1	lncRNA
ENSG00000272455	1	1409096	1410618	MRPL20-DT	1	lncRNA
ENSG00000235098	1	1418420	1421769	ANKRD65	5	protein_coding
ENSG00000225905	1	1420245	1423287	ANKRD65-AS1	2	lncRNA
ENSG00000205116	1	1425871	1430255	TMEM88B	1	protein_coding
ENSG00000225285	1	1429194	1435625	LINC01770	43	lncRNA
ENSG00000179403	1	1434861	1442882	VWA1	4	protein_coding
ENSG00000215915	1	1449689	1470163	ATAD3C	3	protein_coding
ENSG00000160072	1	1471765	1497848	ATAD3B	6	protein_coding
ENSG00000290916	1	1503224	1509526		6	lncRNA
ENSG00000284740	1	1503582	1509351		1	transcribed_unprocessed_pseudogene
ENSG00000197785	1	1512162	1534685	ATAD3A	8	protein_coding
ENSG00000205090	1	1534778	1540624	TMEM240	2	protein_coding
ENSG00000299413	1	1539564	1592377		1	lncRNA
ENSG00000160075	1	1541673	1574863	SSU72	4	protein_coding
ENSG00000215014	1	1574102	1577075	SSU72-AS1	2	lncRNA
ENSG00000274481	1	1583510	1583909		1	processed_pseudogene
ENSG00000228594	1	1598012	1600135	FNDC10	1	protein_coding
ENSG00000286989	1	1600182	1607327		3	lncRNA
ENSG00000272106	1	1613758	1615795		1	lncRNA
ENSG00000197530	1	1615454	1630605	MIB2	32	protein_coding
ENSG00000189409	1	1632163	1635263	MMP23B	10	protein_coding
ENSG00000248333	1	1635225	1659012	CDK11B	9	protein_coding
ENSG00000272004	1	1659027	1662939		4	lncRNA
ENSG00000189339	1	1659529	1692795	SLC35E2B	5	protein_coding
ENSG00000293187	1	1671990	1673411		1	lncRNA
ENSG00000269737	1	1673275	1674397		1	transcribed_processed_pseudogene
ENSG00000310190	1	1692528	1701814		35	lncRNA
ENSG00000310238	1	1698620	1700731		3	lncRNA
ENSG00000215914	1	1699942	1701782	MMP23A	1	transcribed_unprocessed_pseudogene
ENSG00000008128	1	1702379	1724357	CDK11A	23	protein_coding
ENSG00000268575	1	1702736	1737688		1	lncRNA
ENSG00000293188	1	1724194	1736519		6	lncRNA
ENSG00000290854	1	1724838	1745992		4	lncRNA
ENSG00000215790	1	1734690	1739557	SLC35E2A	1	transcribed_unprocessed_pseudogene
ENSG00000227775	1	1735817	1737251		1	transcribed_processed_pseudogene
ENSG00000008130	1	1751232	1780457	NADK	17	protein_coding
ENSG00000302550	1	1783129	1796057		3	lncRNA
ENSG00000078369	1	1785285	1892292	GNB1	31	protein_coding
ENSG00000231050	1	1891175	1892835	GNB1-DT	18	lncRNA
ENSG00000303984	1	1891400	1891754		1	lncRNA
ENSG00000294910	1	1906002	1909117		3	lncRNA
ENSG00000306476	1	1909317	1910418		1	lncRNA
ENSG00000169885	1	1915108	1917296	CALML6	4	protein_coding
ENSG00000178821	1	1917590	1919279	TMEM52	6	protein_coding
ENSG00000142609	1	1921951	2003837	CFAP74	10	protein_coding
ENSG00000233542	1	2013198	2019198		5	lncRNA
ENSG00000187730	1	2019329	2030758	GABRD	19	protein_coding
ENSG00000304958	1	2033503	2047450		8	lncRNA
ENSG00000226969	1	2049202	2050176	PRKCZ-DT	3	lncRNA
ENSG00000067606	1	2050411	2185395	PRKCZ	26	protein_coding
ENSG00000308181	1	2103345	2104917		2	lncRNA
ENSG00000271806	1	2141084	2145279		1	lncRNA
ENSG00000182873	1	2181794	2184389	PRKCZ-AS1	2	lncRNA
ENSG00000162585	1	2184461	2212720	FAAP20	15	protein_coding
ENSG00000304038	1	2207046	2208854		2	lncRNA
ENSG00000234396	1	2212523	2220738		1	lncRNA
ENSG00000304143	1	2212965	2214206		1	lncRNA
ENSG00000157933	1	2227388	2310213	SKI	5	protein_coding
ENSG00000295493	1	2300846	2301069		1	lncRNA
ENSG00000287356	1	2314917	2323085		19	lncRNA
ENSG00000116151	1	2321253	2391707	MORN1	11	protein_coding
ENSG00000272161	1	2326201	2326693		1	lncRNA
ENSG00000292993	1	2350414	2352820		1	lncRNA
ENSG00000269896	1	2351644	2351857		1	transcribed_processed_pseudogene
ENSG00000272420	1	2363061	2363628		1	lncRNA
ENSG00000295371	1	2385375	2388508		1	lncRNA
ENSG00000157916	1	2391775	2405442	RER1	9	protein_coding
ENSG00000157911	1	2403964	2413797	PEX10	9	protein_coding
ENSG00000149527	1	2425980	2505532	PLCH2	8	protein_coding
ENSG00000224387	1	2492300	2493258		1	lncRNA
ENSG00000229393	1	2493437	2494479		1	lncRNA
ENSG00000157881	1	2508537	2526597	PANK4	12	protein_coding
ENSG00000197921	1	2528745	2530263	HES5	1	protein_coding
ENSG00000272449	1	2530064	2547878		2	lncRNA
ENSG00000238164	1	2540861	2557059	TNFRSF14-AS1	19	lncRNA
ENSG00000307979	1	2550557	2552503		1	lncRNA
ENSG00000157873	1	2555639	2565382	TNFRSF14	16	protein_coding
ENSG00000225931	1	2566410	2569888		1	TEC
ENSG00000307958	1	2576210	2580567		1	lncRNA
ENSG00000228037	1	2577043	2584553		2	lncRNA
ENSG00000289610	1	2585590	2586283		1	lncRNA
ENSG00000157870	1	2586491	2591469	PRXL2B	15	protein_coding
ENSG00000142606	1	2590639	2633016	MMEL1	9	protein_coding
ENSG00000237058	1	2628688	2636624	MMEL1-AS1	12	lncRNA
ENSG00000215912	1	2636986	2801693	TTC34	2	protein_coding
ENSG00000285945	1	2768091	2784733		1	lncRNA
ENSG00000283259	1	2773603	2776473		1	lncRNA
ENSG00000233234	1	2811850	2812692		1	lncRNA
ENSG00000287396	1	2814020	2817789		3	lncRNA
ENSG00000231630	1	2814432	2814998		1	lncRNA
ENSG00000302855	1	2822159	2823360		1	lncRNA
ENSG00000295089	1	2855194	2855996		1	lncRNA
ENSG00000300015	1	2873653	2875675		1	lncRNA
ENSG00000284745	1	2960355	2968707		4	lncRNA
ENSG00000169717	1	3021467	3022903	ACTRT2	1	protein_coding
ENSG00000177133	1	3059564	3070251	PRDM16-DT	40	lncRNA
ENSG00000142611	1	3069168	3438621	PRDM16	10	protein_coding
ENSG00000283572	1	3127975	3128035	MIR4251	1	miRNA
ENSG00000226286	1	3132927	3133709		1	lncRNA
ENSG00000306427	1	3161276	3167152		2	lncRNA
ENSG00000279839	1	3205988	3208664		1	TEC
ENSG00000306439	1	3211011	3213146		1	lncRNA
ENSG00000272235	1	3306636	3310096		1	lncRNA
ENSG00000287828	1	3312741	3323149		4	lncRNA
ENSG00000286518	1	3367815	3373928		1	lncRNA
ENSG00000295754	1	3439154	3441727		1	lncRNA
ENSG00000297626	1	3453403	3454339		1	lncRNA
ENSG00000130762	1	3454665	3481113	ARHGEF16	7	protein_coding
ENSG00000272088	1	3487246	3487627		1	lncRNA
ENSG00000162591	1	3487951	3611508	MEGF6	8	protein_coding
ENSG00000207776	1	3560695	3560790	MIR551A	1	miRNA
ENSG00000309127	1	3619643	3622906		1	lncRNA
ENSG00000238260	1	3620739	3624787		12	lncRNA
ENSG00000158109	1	3625015	3630127	TPRG1L	2	protein_coding
ENSG00000116213	1	3630767	3652761	WRAP73	10	protein_coding
ENSG00000078900	1	3652516	3736201	TP73	15	protein_coding
ENSG00000227589	1	3658938	3668772	TP73-AS3	1	lncRNA
ENSG00000235131	1	3712200	3714298	TP73-AS2	1	lncRNA
ENSG00000293478	1	3735511	3747373	GFOD3P	31	lncRNA
ENSG00000276189	1	3736943	3737103		1	misc_RNA
ENSG00000227372	1	3738434	3746742	GFOD3P	1	transcribed_unitary_pseudogene
ENSG00000162592	1	3746460	3771645	CCDC27	3	protein_coding
ENSG00000296834	1	3750341	3752342		1	lncRNA
ENSG00000235169	1	3772749	3775982	SMIM1	4	protein_coding
ENSG00000130764	1	3778559	3796498	LRRC47	3	protein_coding
ENSG00000266075	1	3782815	3783111	RN7SL574P	1	misc_RNA
ENSG00000272153	1	3785008	3785538		1	lncRNA
ENSG00000116198	1	3812086	3857396	CEP104	26	protein_coding
ENSG00000169598	1	3857267	3885429	DFFB	11	protein_coding
ENSG00000198912	1	3889125	3900293	C1orf174	11	protein_coding
ENSG00000236423	1	3900187	3917547	LINC01134	24	lncRNA
ENSG00000233304	1	3940486	3955262	LINC01346	6	lncRNA
ENSG00000226374	1	3944547	3949024	LINC01345	5	lncRNA
ENSG00000284668	1	3976133	4093062	LINC02780	13	lncRNA
ENSG00000284703	1	4012921	4019843		2	lncRNA
ENSG00000296871	1	4043675	4046929		1	lncRNA
ENSG00000308587	1	4108078	4108993		2	lncRNA
ENSG00000229280	1	4175528	4175899	EEF1DP6	1	processed_pseudogene
ENSG00000301255	1	4224706	4228239		1	lncRNA
ENSG00000299169	1	4267345	4269793		1	lncRNA
ENSG00000302287	1	4317882	4319668		2	lncRNA
ENSG00000235054	1	4412027	4424689	LINC01777	15	lncRNA
ENSG00000306535	1	4460526	4463221		1	lncRNA
ENSG00000284694	1	4479131	4484375		1	lncRNA
ENSG00000299517	1	4495360	4497501		1	lncRNA
ENSG00000227169	1	4551735	4552145		1	lncRNA
ENSG00000295490	1	4555871	4556410		1	lncRNA
ENSG00000232596	1	4571481	4594016	LINC01646	8	lncRNA
ENSG00000300565	1	4603690	4622259		5	lncRNA
ENSG00000303830	1	4627314	4634700		10	lncRNA
ENSG00000196581	1	4654609	4792534	AJAP1	3	protein_coding
ENSG00000287586	1	4730211	4734992		2	lncRNA
ENSG00000284739	1	4957519	4973298		3	lncRNA
ENSG00000284674	1	4973381	4981568	LINC02781	1	lncRNA
ENSG00000309102	1	4992579	4998772		1	lncRNA
ENSG00000309111	1	4997979	5004012		1	lncRNA
ENSG00000231510	1	5086459	5090899	LINC02782	1	lncRNA
ENSG00000296716	1	5155566	5161643		1	lncRNA
ENSG00000302269	1	5220546	5225258		1	lncRNA
ENSG00000306645	1	5292485	5295192		1	lncRNA
ENSG00000284616	1	5301928	5307394		1	lncRNA
ENSG00000302445	1	5426089	5430776		1	lncRNA
ENSG00000302452	1	5430322	5433023		1	lncRNA
ENSG00000295735	1	5448819	5455118		1	lncRNA
ENSG00000284692	1	5478736	5493057		4	lncRNA
ENSG00000284666	1	5480787	5482028		1	lncRNA
ENSG00000260972	1	5492978	5494674		1	lncRNA
ENSG00000299325	1	5502638	5503846		1	lncRNA
ENSG00000283356	1	5554747	5554881		1	unprocessed_pseudogene
ENSG00000289893	1	5561708	5771608		14	lncRNA
ENSG00000264341	1	5564071	5564143		1	miRNA
ENSG00000295108	1	5597389	5614160		1	lncRNA
ENSG00000295122	1	5706880	5709714		2	lncRNA
ENSG00000298180	1	5834386	5838310		1	lncRNA
ENSG00000264101	1	5862672	5862741	MIR4689	1	miRNA
ENSG00000131697	1	5862811	5992473	NPHP4	11	protein_coding
ENSG00000299539	1	5897461	5902448		1	lncRNA
ENSG00000069424	1	5990927	6101193	KCNAB2	48	protein_coding
ENSG00000116254	1	6101787	6180321	CHD5	6	protein_coding
ENSG00000285629	1	6159430	6197757		1	protein_coding
ENSG00000116251	1	6185020	6209389	RPL22	7	protein_coding
ENSG00000226944	1	6204835	6206041	RNF207-AS1	2	lncRNA
ENSG00000158286	1	6205475	6221299	RNF207	9	protein_coding
ENSG00000116237	1	6221193	6235972	ICMT	4	protein_coding
ENSG00000225077	1	6234692	6239448	ICMT-DT	13	lncRNA
ENSG00000173673	1	6244179	6245578	HES3	2	protein_coding
ENSG00000158292	1	6247353	6261098	GPR153	1	protein_coding
ENSG00000097021	1	6264269	6393767	ACOT7	9	protein_coding
ENSG00000271746	1	6393555	6394391		1	lncRNA
ENSG00000069812	1	6412418	6424670	HES2	6	protein_coding
ENSG00000187017	1	6424776	6461367	ESPN	16	protein_coding
ENSG00000265392	1	6429834	6429896	MIR4252	1	miRNA
ENSG00000231868	1	6443034	6447006		1	lncRNA
ENSG00000215788	1	6460786	6466175	TNFRSF25	21	protein_coding
ENSG00000171680	1	6467122	6520074	PLEKHG5	29	protein_coding
ENSG00000297749	1	6485037	6487704		1	lncRNA
ENSG00000299237	1	6490640	6494731		1	lncRNA
ENSG00000299253	1	6490905	6493396		1	lncRNA
ENSG00000162408	1	6521347	6554513	NOL9	5	protein_coding
ENSG00000253022	1	6540854	6540964	RNU6-731P	1	snRNA
ENSG00000229519	1	6547905	6548619		1	processed_pseudogene
ENSG00000173662	1	6555307	6579755	TAS1R1	4	protein_coding
ENSG00000204859	1	6579994	6589280	ZBTB48	8	protein_coding
ENSG00000162413	1	6590724	6614607	KLHL21	5	protein_coding
ENSG00000295286	1	6598943	6600379		1	lncRNA
ENSG00000304810	1	6612997	6613159		1	lncRNA
ENSG00000116273	1	6613731	6624030	PHF13	2	protein_coding
ENSG00000041988	1	6624868	6635586	THAP3	8	protein_coding
ENSG00000007923	1	6634168	6701924	DNAJC11	25	protein_coding
ENSG00000228750	1	6724626	6730012	LINC01672	8	lncRNA
ENSG00000284744	1	6767954	6770038		1	lncRNA
ENSG00000237436	1	6783892	6784843	CAMTA1-DT	3	lncRNA
ENSG00000171735	1	6785454	7769706	CAMTA1	36	protein_coding
ENSG00000227950	1	6834333	6834618		1	processed_pseudogene
ENSG00000237365	1	7008376	7014279	CAMTA1-AS3	1	lncRNA
ENSG00000207056	1	7219360	7219524	RNU1-8P	1	snRNA
ENSG00000310450	1	7237660	7240057		1	lncRNA
ENSG00000237402	1	7312886	7370277	CAMTA1-IT1	4	lncRNA
ENSG00000237728	1	7379384	7389915	CAMTA1-AS2	4	lncRNA
ENSG00000294314	1	7390031	7411735		1	lncRNA
ENSG00000225126	1	7440491	7441612	CAMTA1-AS1	7	lncRNA
ENSG00000298973	1	7507509	7509131		1	lncRNA
ENSG00000306883	1	7557505	7558106		1	lncRNA
ENSG00000302704	1	7583643	7588823		1	lncRNA
ENSG00000270171	1	7693124	7694844		1	lncRNA
ENSG00000270035	1	7698303	7698872		1	lncRNA
ENSG00000269978	1	7700704	7702528		1	lncRNA
ENSG00000300603	1	7769955	7771187		2	lncRNA
ENSG00000049245	1	7771296	7781432	VAMP3	3	protein_coding
ENSG00000269925	1	7776383	7776775		1	lncRNA
ENSG00000049246	1	7784291	7845177	PER3	9	protein_coding
ENSG00000236266	1	7788351	7827342		2	lncRNA
ENSG00000049247	1	7843083	7853512	UTS2	3	protein_coding
ENSG00000302605	1	7856311	7913257		1	lncRNA
ENSG00000049249	1	7915871	7943165	TNFRSF9	4	protein_coding
ENSG00000270330	1	7942372	7942726		1	processed_pseudogene
ENSG00000116288	1	7954291	7985505	PARK7	10	protein_coding
ENSG00000299004	1	7960536	7961526		1	lncRNA
ENSG00000200344	1	7982881	7982983	Y_RNA	1	misc_RNA
ENSG00000284747	1	7991134	8005312		2	lncRNA
ENSG00000284716	1	7998187	7999934		1	lncRNA
